,Year,Month,Day,Hour,Day of week,DE/LU[€/MWh],Comsumption [MWh],Wind offshore[MWh],Wind onshore[MWh],PV[MWh],Other[MWh],Outlier
13475,2020,4,17,11,4,23.87,0.7926933873750684,-1.4752937182273964,-2.8902189023177396,1.3113957613060832,-0.15839554365897915,0
13476,2020,4,17,12,4,20.44,0.7282226247339584,-1.524025056157271,-2.8578453101250245,1.327541945323942,-0.35105538669151937,0
13477,2020,4,17,13,4,18.07,0.5494676106894967,-1.546957450477212,-2.7893672295922696,1.3279513971845929,-0.4560988093544386,0
13478,2020,4,17,14,4,18.54,0.3577547168390788,-1.549250689909206,-2.690842897901513,1.3149775870517983,-0.5806874334844272,0
13479,2020,4,17,15,4,21.87,0.21936031202628403,-1.5377844927492355,-2.570960753360582,1.2850392739431198,-0.576547316917511,0
13480,2020,4,17,16,4,21.75,0.12345075903629657,-1.504532520985321,-2.388667714323855,1.231141504137764,-0.6339312581705815,0
13481,2020,4,17,17,4,25.15,0.13725833587870895,-1.455227873197448,-2.068366360028301,1.135935693079368,-0.5481441916328537,0
13482,2020,4,17,18,4,36.76,0.12546878949787993,-1.3892972395276177,-1.6244077522092095,0.9633774532124205,-0.5455445835559528,0
13483,2020,4,17,19,4,48.75,0.10050893905198063,-1.314193648129811,-1.1524727459096373,0.6554451080456216,-0.5307171893395554,0
13484,2020,4,17,20,4,42.77,-0.028007737712011413,-1.2293437891460295,-0.655594148734428,-0.03824153830034723,-0.6005214802933743,0
13485,2020,4,17,21,4,32.38,-0.2667726049561884,-1.1508003386002317,-0.23447101398384373,-1.0546367986635836,-0.7866341622433495,0
13486,2020,4,17,22,4,24.92,-0.5417558083793086,-1.0871629443623954,-0.05361590088877444,-1.0546367986635836,-0.9436697464442856,0
13487,2020,4,17,23,4,20.76,-0.9108429585899469,-1.016645831828577,0.0322237560684958,-1.0546367986635836,-1.4085181833064067,0
13488,2020,4,18,0,5,22.1,-1.3787073892886121,-1.0086194938165975,-0.061667415661210215,-1.0546367986635836,-1.782861746380128,0
13489,2020,4,18,1,5,20.13,-1.605470285892846,-0.9226230151168189,-0.09747786426004618,-1.0546367986635836,-1.9019623090144369,0
13490,2020,4,18,2,5,18.78,-1.7309068108996846,-0.8096809730911095,-0.13240896060995055,-1.0546367986635836,-1.9360460593560258,0
13491,2020,4,18,3,5,18.1,-1.7402534783007022,-0.7110716775153634,-0.17539085954778239,-1.0546367986635836,-1.9620421401250343,0
13492,2020,4,18,4,5,18.55,-1.7170992340572722,-0.5820769594656954,-0.18026754575885495,-1.0546367986635836,-1.9791802970764545,0
13493,2020,4,18,5,5,19.07,-1.686510140744851,-0.43932280482406283,-0.19650925965860225,-1.0546367986635836,-1.9562652332874768,0
13494,2020,4,18,6,5,21.62,-1.5855024055361266,-0.31720780507037716,-0.2614271212003708,0.32438205066008224,-1.8631607514221762,0
13495,2020,4,18,7,5,23.82,-1.3301684460810548,-0.23006470665460144,-0.41198259801397186,0.8172357237306116,-1.5952085559401374,0
13496,2020,4,18,8,5,23.87,-0.9414320519023681,-0.17502696028674308,-0.7630151738865882,1.042851218291791,-1.313295502267335,0
13497,2020,4,18,9,5,24.33,-0.6371343007215109,-0.17158710113875195,-1.292149155472824,1.1621182691512268,-1.0584376289504265,0
13498,2020,4,18,10,5,17.3,-0.433738072619821,-0.1899330165947047,-1.310322335700698,1.2325496720303106,-1.0735538685087018,0
13499,2020,4,18,11,5,16.63,-0.2850410912399955,-0.20541238276066487,-1.187200826293761,1.27265991660778,-1.0160736454750052,0
13500,2020,4,18,12,5,16.8,-0.3206221546415966,-0.19910597432268112,-1.0601282073514597,1.2915018136863963,-1.003171886871127,0
13501,2020,4,18,13,5,12.84,-0.509254896734861,-0.17388034057074603,-1.0053453680907818,1.2929148414742697,-1.0490982962297086,0
13502,2020,4,18,14,5,12.32,-0.6834427892083709,-0.14120167866483016,-0.8782439334489788,1.2793232518949673,-1.1703170580377886,0
13503,2020,4,18,15,5,12.77,-0.7814765847894987,-0.10164329846293196,-0.7749880668786846,1.2472731845508336,-1.3186872819823887,0
13504,2020,4,18,16,5,15.05,-0.8188632543935691,-0.04717886195307215,-0.6790028074333642,1.190117990347064,-1.4626285440181945,0
13505,2020,4,18,17,5,24.13,-0.7345308235252966,0.058310151918656336,-0.5263440736500676,1.0920776387365934,-1.3689463714691383,0
13506,2020,4,18,18,5,25.99,-0.6357535430372697,0.19533120798030368,-0.3169497470677898,0.9194995479104643,-1.1482685302744444,0
13507,2020,4,18,19,5,29.42,-0.6488176349727829,0.34267184148592444,-0.07719715795131726,0.617886513142888,-1.0387961457027313,0
13508,2020,4,18,20,5,28.66,-0.7219977922375684,0.45618719336963226,0.2130663755247893,-0.08999887955924225,-1.1466317400038033,0
13509,2020,4,18,21,5,23.81,-0.9019211397071574,0.4917324045655408,0.4257599692931976,-1.0546367986635836,-1.4395209166679648,0
13510,2020,4,18,22,5,21.16,-1.0655940313545225,0.5140914890274833,0.48218032295320684,-1.0546367986635836,-1.5371506422226853,0
13511,2020,4,18,23,5,18.38,-1.3884789052078579,0.5203978974654669,0.47309039573948536,-1.0546367986635836,-1.710939256252538,0
